chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,149.37099999999998,382.94,784.8435455947247,935.411924207695,150.68200000000002,384.03700000000003,259.4932297016768,276.4852832506858,,,recovery,clean,9.12863842677325,16.675724182277918,0.0,57.0,0,chaos_crash_recovery-20260507T054418Z-cf1caa,chaos_crash_recovery_pgque_1x,149.37099999999998,382.94,pgque
,109.055,474.111,1525.6605745276195,2202.553865286502,110.015,476.159,485.50568306108573,525.4929510231624,,,baseline,clean,8.059,9.959,14.0,28.0,0,chaos_repeated_kills-20260507T054915Z-15f912,chaos_repeated_kills_awa_2x,109.055,474.111,awa
,81.023,474.111,1002.8229842750167,1778.619473722834,83.007,476.159,457.4310451166765,562.5767650323478,,,repeated,repeated-kill,8.847,19.343,14.0,34.0,0,chaos_repeated_kills-20260507T054915Z-15f912,chaos_repeated_kills_awa_2x,81.023,474.111,awa
,109.055,151.039,72.50046463937647,1560.6600049220415,110.015,153.087,502.1106094770519,546.9115157295458,,,recovery,clean,8.919,10.255,18.0,104.0,0,chaos_repeated_kills-20260507T054915Z-15f912,chaos_repeated_kills_awa_2x,109.055,151.039,awa
,,,,,,,,,,True,?,,,,,,1,,chaos_repeated_kills_pgque_1x,,,?
,114.898,126.92500000000001,455.0910093003033,525.7624058584752,116.19200000000001,128.072,459.083770615886,505.8848101738447,,,clean_1,clean,4.043085500597954,4.664866952225566,0.0,52.0,0,custom-20260507T061318Z-bd4e51,idle_in_tx_short_pgque,114.898,126.92500000000001,pgque
,154.459,169.77999999999997,477.9249189703875,532.5137456864226,156.31300000000002,171.036,481.0567297113184,509.642006842748,,,idle_1,idle-in-tx,3.9876610971987247,4.210236947983503,0.0,54.0,0,custom-20260507T061318Z-bd4e51,idle_in_tx_short_pgque,154.459,169.77999999999997,pgque
,0.0,331.089,0.0,516.5430927347128,0.0,332.16499999999996,0.0,500.17797496483587,,,recovery_1,recovery,0.0,122.48700903728604,26.0,50.0,0,custom-20260507T061318Z-bd4e51,idle_in_tx_short_pgque,0.0,331.089,pgque
,1335.295,1364.991,338.26834012130456,1510.3161363790314,1336.8310000000001,1366.015,0.0,640.0950448327795,,,clean_1,clean,3.219,6.307,2187.5,2939.0,0,custom-20260507T081130Z-04498b,idle_in_tx_awa_dt,1335.295,1364.991,awa
,4622.335,15302.655,258.5447707374377,1460.9115651793136,4626.4310000000005,15310.847,0.0,501.54892133256124,,,idle_1,idle-in-tx,2.807,4.061,8017.5,23250.0,0,custom-20260507T081130Z-04498b,idle_in_tx_awa_dt,4622.335,15302.655,awa
,15400.959,19185.663,336.97853042386964,1649.7394822145359,15400.959,19185.663,0.0,0.0,,,recovery_1,recovery,,,28805.0,31822.0,0,custom-20260507T081130Z-04498b,idle_in_tx_awa_dt,15400.959,19185.663,awa
