aged_completion_rate_median,aged_completion_rate_peak,cell_id,chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_label,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,retryable_failure_rate_median,retryable_failure_rate_peak,run_dir,subscriber_p99_ms_median,subscriber_p99_ms_peak,system,worker_count
,,perf_w128_pgmq,,177.0,1198.0,6179.6,21065.6,271.0,2306.0,6169.6,21120.0,,,A,clean,clean,0.7661261188331991,6.211977382918121,256.0,856.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T141946Z-b261c9,177.0,1198.0,pgmq,128
0.0,0.0,perf_w256_topscale,,361.087,566.271,14157.67929434553,18304.59511899651,363.135,567.295,14156.556453848312,17843.78013697981,,,A,clean,clean,0.31,0.407,2208.0,3968.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T142338Z-068f93,361.087,566.271,awa,256
,,perf_w256_topscale,,373.0,528.0,2356.1,4428.8,437.5,574.0,2380.8,4582.4,,,A,clean,clean,0.20703125,2.9453125,352.0,1856.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T142338Z-068f93,373.0,528.0,pgboss,256
,,perf_w256_pgque,,228.83249999999998,505.281,39898.10784512147,43131.4362512574,231.9795,506.729,39919.079566940745,44084.01033644352,,,A,clean,clean,0.03664701897650957,0.22680342593230307,3065.5,13000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T143116Z-10fb2d,228.83249999999998,505.281,pgque,256
,,perf_w256_pgmq,,302.0,507.0,3251.6,7990.4,885.0,1398.0,3200.0,7961.6,,,A,clean,clean,0.9655777621446759,1.446564163416042,296.0,1308.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T143513Z-541a37,302.0,507.0,pgmq,256
0.0,0.0,perf_w64_awa_dl30s,,1556.4789999999998,1864.703,4966.115002381064,6444.505314683278,1558.527,1866.751,4953.932727841162,7039.678099455417,,,A5,clean,clean,0.2415,0.399,4272.0,5920.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T145431Z-8edc57,1556.4789999999998,1864.703,awa,64
0.0,0.0,perf_w128_awa_dl30s,,836.095,1549.311,8389.841820857917,11342.852128354407,837.119,1551.359,8321.90184009274,11854.436763421912,,,A5,clean,clean,0.259,0.419,3540.0,5632.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T145829Z-b697a0,836.095,1549.311,awa,128
0.0,0.0,perf_w256_awa_dl30s,,451.071,540.159,13597.46236885558,17971.313478061827,453.119,542.207,13599.325769367202,18099.267155520854,,,A5,clean,clean,0.401,0.446,2240.0,4224.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T150227Z-fa72e1,451.071,540.159,awa,256
,,perf_w64_pgque_shared,,448.937,754.02,23979.02038995371,25972.583680909822,450.196,755.266,23869.722920419288,27558.888433133114,,,A5,clean,clean,0.03379889810457826,0.1364481020718813,8500.0,15000.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/custom-20260508T150619Z-c0e3f7,448.937,754.02,pgque,64
0.0,0.0,chaos_postgres_restart_awa,,23.011,34.015,599.9888404142027,601.6043072461981,24.506999999999998,35.007,599.9888404142027,601.5283716857791,,,B,baseline,clean,0.41200000000000003,0.526,0.0,15.0,0,0.0,0.0,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_postgres_restart-20260508T152311Z-64403e,23.011,34.015,awa,1
